code,skill
0,all_skills
1,all_skills_robust
2,color+emotion+text
3,color+emotion+text_robust
4,color+emotion
5,color+emotion_robust
6,color+size+emotion+text
7,color+size+emotion+text_robust
8,color+size+emotion
9,color+size+emotion_robust
10,color+size+text
11,color+size+text_robust
12,color+size
13,color+size_robust
14,color+spatial+emotion+text
15,color+spatial+emotion+text_robust
16,color+spatial+emotion
17,color+spatial+emotion_robust
18,color+spatial+size+emotion+text
19,color+spatial+size+emotion+text_robust
20,color+spatial+size+emotion
21,color+spatial+size+emotion_robust
22,color+spatial+size+text
23,color+spatial+size+text_robust
24,color+spatial+size
25,color+spatial+size_robust
26,color+spatial+text
27,color+spatial+text_robust
28,color+spatial
29,color+spatial_robust
30,color+text
31,color+text_robust
32,counting+color+emotion+text
33,counting+color+emotion+text_robust
34,counting+color+emotion
35,counting+color+emotion_robust
36,counting+color+size+emotion+text
37,counting+color+size+emotion+text_robust
38,counting+color+size+emotion
39,counting+color+size+emotion_robust
40,counting+color+size+text
41,counting+color+size+text_robust
42,counting+color+size
43,counting+color+size_robust
44,counting+color+spatial+emotion+text
45,counting+color+spatial+emotion+text_robust
46,counting+color+spatial+emotion
47,counting+color+spatial+emotion_robust
48,counting+color+spatial+size+emotion
49,counting+color+spatial+size+emotion_robust
50,counting+color+spatial+size+text
51,counting+color+spatial+size+text_robust
52,counting+color+spatial+size
53,counting+color+spatial+size_robust
54,counting+color+spatial+text
55,counting+color+spatial+text_robust
56,counting+color+spatial
57,counting+color+spatial_robust
58,counting+color+text
59,counting+color+text_robust
60,counting+color
61,counting+color_robust
62,counting+emotion+text
63,counting+emotion+text_robust
64,counting+emotion
65,counting+emotion_robust
66,counting+size+emotion+text
67,counting+size+emotion+text_robust
68,counting+size+emotion
69,counting+size+emotion_robust
70,counting+size+text
71,counting+size+text_robust
72,counting+size
73,counting+size_robust
74,counting+spatial+emotion+text
75,counting+spatial+emotion+text_robust
76,counting+spatial+emotion
77,counting+spatial+emotion_robust
78,counting+spatial+size+emotion+text
79,counting+spatial+size+emotion+text_robust
80,counting+spatial+size+emotion
81,counting+spatial+size+emotion_robust
82,counting+spatial+size+text
83,counting+spatial+size+text_robust
84,counting+spatial+size
85,counting+spatial+size_robust
86,counting+spatial+text
87,counting+spatial+text_robust
88,counting+spatial
89,counting+spatial_robust
90,counting+text
91,counting+text_robust
92,emotion+text
93,emotion+text_robust
94,size+emotion+text
95,size+emotion+text_robust
96,size+emotion
97,size+emotion_robust
98,size+text
99,size+text_robust
100,spatial+emotion+text
101,spatial+emotion+text_robust
102,spatial+emotion
103,spatial+emotion_robust
104,spatial+size+emotion+text
105,spatial+size+emotion+text_robust
106,spatial+size+emotion
107,spatial+size+emotion_robust
108,spatial+size+text
109,spatial+size+text_robust
110,spatial+size
111,spatial+size_robust
112,spatial+text
113,spatial+text_robust
